r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
0.00,20.00,100.00,200.00,180.00,2.00,1.90,0.30,560.00,305.00,31.67,44.50,1,16.02
25.00,20.00,100.00,200.00,180.00,2.00,1.90,0.30,560.00,305.00,36.25,49.80,1,17.93
50.00,20.00,100.00,200.00,180.00,2.00,1.90,0.30,560.00,305.00,29.85,42.00,1,15.12
0.00,20.00,100.00,200.00,180.00,2.00,1.90,0.50,560.00,305.00,37.92,75.00,1,27.00
25.00,20.00,100.00,200.00,180.00,2.00,1.90,0.50,560.00,305.00,36.25,61.00,1,21.96
50.00,20.00,100.00,200.00,180.00,2.00,1.90,0.50,560.00,305.00,29.58,58.00,1,20.88
45.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,20.00,35.50,1,17.75
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,21.52,36.50,1,18.25
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,22.00,37.00,1,18.50
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,23.80,43.00,1,21.50
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,22.65,47.50,1,23.75
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,23.44,49.00,1,24.50
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,25.52,52.00,1,26.00
15.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,22.56,55.50,1,27.75
0.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,23.04,60.00,1,30.00
30.00,19.00,150.00,300.00,250.00,2.00,2.14,0.00,420.00,0.00,24.72,62.50,1,31.25
100.00,19.00,206.00,306.00,260.00,2.00,1.90,0.00,457.00,0.00,23.20,55.00,1,28.60
50.00,19.00,206.00,306.00,260.00,2.00,1.90,0.00,457.00,0.00,25.20,58.90,1,30.63
50.00,20.00,150.00,340.00,300.00,2.00,0.68,0.25,420.00,250.00,42.30,56.67,0,34.00
70.00,20.00,150.00,340.00,300.00,2.00,0.68,0.25,420.00,250.00,43.70,59.17,0,35.50
100.00,20.00,150.00,340.00,300.00,2.00,0.68,0.25,420.00,250.00,43.50,56.67,0,34.00
100.00,20.00,150.00,340.00,300.00,2.00,0.89,0.25,420.00,250.00,43.50,67.33,0,40.40
100.00,20.00,150.00,340.00,300.00,2.00,1.13,0.25,420.00,250.00,43.50,80.67,0,48.40
25.00,19.00,150.00,300.00,265.00,1.50,1.10,0.00,423.00,0.00,20.00,182.00,1,72.35
50.00,19.00,150.00,300.00,265.00,1.50,1.10,0.00,423.00,0.00,20.00,189.80,1,75.45
30.00,19.00,150.00,300.00,250.00,1.00,2.14,0.00,420.00,0.00,21.44,41.50,1,10.38
