r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
50.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,39.30,54.30,0,41.27
50.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,39.30,54.30,0,41.27
100.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,43.80,54.90,0,41.72
100.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,43.80,54.90,0,41.72
100.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,38.50,58.00,0,44.08
100.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,38.50,55.90,0,42.48
0.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,38.60,56.10,0,42.64
0.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,38.60,56.70,0,43.09
0.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,46.50,57.60,0,43.78
0.00,19.00,150.00,230.00,200.00,3.80,1.30,1.10,572.00,420.00,46.50,57.60,0,43.78
50.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,43.60,44.00,1,33.44
50.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,43.60,39.10,1,29.72
50.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,40.20,43.70,1,33.21
50.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,40.20,41.20,1,31.31
100.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,41.40,36.40,1,27.66
100.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,41.40,38.00,1,28.88
100.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,35.70,39.90,1,30.32
100.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,35.70,36.10,1,27.44
0.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,32.60,31.10,1,23.64
0.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,32.60,36.90,1,28.04
0.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,50.30,40.40,1,30.70
0.00,19.00,150.00,230.00,200.00,3.80,1.30,0.00,570.00,0.00,50.30,42.30,1,32.15
25.00,19.00,150.00,300.00,265.00,3.50,1.10,0.00,423.00,0.00,20.00,58.50,1,54.26
50.00,19.00,150.00,300.00,265.00,3.50,1.10,0.00,423.00,0.00,20.00,54.80,1,50.83
50.00,25.00,200.00,350.00,303.00,3.30,3.00,0.00,560.00,0.00,39.70,90.60,1,90.59
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,500.00,0.00,41.90,100.50,1,100.49
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.17,500.00,544.00,41.90,177.00,1,176.98
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.12,500.00,544.00,41.90,187.50,1,187.48
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.22,500.00,544.00,41.90,213.00,1,212.98
100.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,500.00,0.00,39.75,84.00,1,83.99
